run_id,table,load_type,status,start_ts,end_ts,row_count,watermark_start,watermark_end,schema_version,output_path,error_message
dbceef62-37b1-4066-b2d3-67be761c922a,Account,full,SUCCESS,2026-04-13T19:28:17.450886+00:00,2026-04-13T19:28:19.028175+00:00,13,,,1,output\full\Account\v1\load_date=2026-04-13\Account_dbceef62-37b1-4066-b2d3-67be761c922a.parquet,
dbceef62-37b1-4066-b2d3-67be761c922a,Contact,incremental,SUCCESS,2026-04-13T19:28:19.028175+00:00,2026-04-13T19:28:19.298069+00:00,20,,2026-04-05T10:44:16.000+0000,1,output\incremental\Contact\v1\load_date=2026-04-13\Contact_dbceef62-37b1-4066-b2d3-67be761c922a.parquet,
